,Time-steps,AgeIndependent,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
60,61.0,1.96889959891422e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09
61,62.0,1.96889959891422e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09
62,63.0,1.96889959891422e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09
63,64.0,1.96889959891422e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09
64,65.0,1.96889959891422e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09
65,66.0,1.96889959891422e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09
66,67.0,1.96889959891422e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09
67,68.0,1.96889959891422e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09
68,69.0,1.96889959891422e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09
69,70.0,1.96889959891422e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09
70,71.0,1.96889959891422e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,1.9964684350171102e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,2.04160288674871e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09,1.28936672449953e-09
